id_Section,No_section,adm0code,adm0_en,adm0_fr,adm0_ht,adm1code,adm1_en,adm1_fr,adm1_ht,adm2code,adm2_en,adm2_fr,adm2_ht,adm3code,adm3_en,adm3_fr,IHSI_UNFPA_2019,IHSI_UNFPA_2019_female,IHSI_UNFPA_2019_male
111-01,1,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0111,Port-au-Prince,Port-au-Prince, ,HT0111-01,1re Section Turgeau,1re Section Turgeau,660 741,350 627,310 115
111-02,2,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0111,Port-au-Prince,Port-au-Prince, ,HT0111-02,2e Section Morne l'Hopital,2e Section Morne l'Hopital,199 766,105 735,94 031
111-03,3,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0111,Port-au-Prince,Port-au-Prince, ,HT0111-03,3e Section Martissant,3e Section Martissant,367 032,191 991,175 042
112-01,1,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0112,Delmas,Delmas, ,HT0112-01,1re Section St Martin,1re Section St Martin,491 434,258 526,232 908
113-01,1,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0113,Carrefour,Carrefour, ,HT0113-01,1re Section Morne Chandelle,1re Section Morne Chandelle,122,55,67
113-02,2,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0113,Carrefour,Carrefour, ,HT0113-02,2e Section Platon Dufrene,2e Section Platon Dufrene,1 200,504,696
113-03,3,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0113,Carrefour,Carrefour, ,HT0113-03,3e Section Taifer,3e Section Taïfer,855,337,518
113-04,4,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0113,Carrefour,Carrefour, ,HT0113-04,4e Section Procy,4e Section Procy,1 151,461,690
113-05,5,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0113,Carrefour,Carrefour, ,HT0113-05,5e Section Coupeau,5e Section Coupeau,1 487,619,868
113-06,6,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0113,Carrefour,Carrefour, ,HT0113-06,6e Section Bouvier,6e Section Bouvier,981,429,552
113-07,7,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0113,Carrefour,Carrefour, ,HT0113-07,7e Section Lavalle,7e Section Lavalle,1 654,696,957
113-08,8,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0113,Carrefour,Carrefour, ,HT0113-08,8e Section Berly,8e Section Berly,1 243,567,676
113-09,9,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0113,Carrefour,Carrefour, ,HT0113-09,9e Section Bizoton,9e Section Bizoton,54 972,28 496,26 476
113-10,10,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0113,Carrefour,Carrefour, ,HT0113-10,10e Section Thor,10e Section Thor,311 388,165 143,146 245
113-11,11,HT,Haiti,Haïti,Ayiti,HT01,West,Ouest,Lwès,HT0113,Carrefour,Carrefour, ,HT0113-11,11e Section Riviere Froide,11e Section Rivière Froide,258 965,135 437,123 527
