,adm3_sec_code,departement,commune,section_communale,IHSI_UNFPA_2019_female,IHSI_UNFPA_2019_male,IHSI_UNFPA_2019
0,11101,Ouest,Port-au-Prince,1re Section Turgeau,350 627,310 115,660 741
1,11102,Ouest,Port-au-Prince,2e Section Morne l'Hopital,105 735,94 031,199 766
2,11103,Ouest,Port-au-Prince,3e Section Martissant,191 991,175 042,367 032
3,11201,Ouest,Delmas,1re Section St Martin,258 526,232 908,491 434
4,11301,Ouest,Carrefour,1re Section Morne Chandelle,55,67,122
5,11302,Ouest,Carrefour,2e Section Platon Dufrene,504,696,1 200
6,11303,Ouest,Carrefour,3e Section Taïfer,337,518,855
7,11304,Ouest,Carrefour,4e Section Procy,461,690,1 151
8,11305,Ouest,Carrefour,5e Section Coupeau,619,868,1 487
9,11306,Ouest,Carrefour,6e Section Bouvier,429,552,981
10,11307,Ouest,Carrefour,7e Section Lavalle,696,957,1 654
11,11308,Ouest,Carrefour,8e Section Berly,567,676,1 243
12,11309,Ouest,Carrefour,9e Section Bizoton,28 496,26 476,54 972
13,11310,Ouest,Carrefour,10e Section Thor,165 143,146 245,311 388
14,11311,Ouest,Carrefour,11e Section Rivière Froide,135 437,123 527,258 965
15,11312,Ouest,Carrefour,12e Section Malanga,494,627,1 120
16,11313,Ouest,Carrefour,13e Section Corail Thor,262,364,627
17,11401,Ouest,Pétion-Ville,1re Section Montagne Noire,15 002,14 062,29 064
18,11402,Ouest,Pétion-Ville,2e Section Aux Cadets,1 547,449,1 996
19,11403,Ouest,Pétion-Ville,3e Section Etang du Jonc,60 262,60 297,120 560
20,11404,Ouest,Pétion-Ville,4e Section Bellevue la Montagne,9 294,2 581,11 875
21,11405,Ouest,Pétion-Ville,5e Section Bellevue Chardonnière,155 302,149 729,305 031
22,11501,Ouest,Kenscoff,1re Section Nouvelle Touraine,7 995,7 804,15 799
23,11502,Ouest,Kenscoff,2e Section Bongars,3 762,3 664,7 426
24,11503,Ouest,Kenscoff,3e Section Sourcailles,17 764,18 583,36 347
25,11504,Ouest,Kenscoff,4e Section Belle Fontaine,2 173,2 114,4 287
26,11505,Ouest,Kenscoff,5e Section Grand Fond,3 914,3 635,7 549
27,11601,Ouest,Gressier,1re Section Morne à Bateau,2 515,2 388,4 904
28,11602,Ouest,Gressier,2e Section Morne Chandelle,12 269,12 379,24 648
29,11603,Ouest,Gressier,3e Section Petit Boucan,7 757,8 015,15 772
30,11701,Ouest,Cité Soleil,2e Section des Varreux,34 598,31 887,66 485
31,11702,Ouest,Cité Soleil,1re Section des Varreux,133 480,129 604,263 084
32,11803,Ouest,Tabarre,3e Section Bellevue,63 950,57 292,121 242
33,11804,Ouest,Tabarre,4e Section Bellevue,21 594,19 147,40 741
34,12101,Ouest,Léogâne,1re Section Dessources,68 335,65 768,134 103
35,12102,Ouest,Léogâne,2e Section Petite Rivière,27 552,26 688,54 240
36,12103,Ouest,Léogâne,3e Section Grande Rivère,9 454,9 038,18 492
37,12104,Ouest,Léogâne,4e Section Fond de Boudin,7 271,8 640,15 911
38,12105,Ouest,Léogâne,5e Section Palmiste à Vin,2 710,2 892,5 602
39,12106,Ouest,Léogâne,6e Section Orangers,879,954,1 833
40,12107,Ouest,Léogâne,7e Section Parques,1 011,1 028,2 039
41,12108,Ouest,Léogâne,8e Section Beausejour,1 005,1 005,2 009
42,12109,Ouest,Léogâne,9e Section Citronniers,741,822,1 563
43,12110,Ouest,Léogâne,10e Section Fond d'Oie,1 902,2 028,3 930
44,12111,Ouest,Léogâne,11e Section Gros Morne,1 618,1 599,3 216
45,12112,Ouest,Léogâne,12e Section Cormiers,1 274,1 394,2 668
46,12113,Ouest,Léogâne,13e Section Petit Harpon,1 329,1 496,2 825
47,12201,Ouest,Petit-Goâve,1re Section Bino,17 402,17 945,35 346
48,12202,Ouest,Petit-Goâve,2e Section Delatre,1 823,2 125,3 948
49,12203,Ouest,Petit-Goâve,3e Section Trou Chouchou,875,1 105,1 981
50,12204,Ouest,Petit-Goâve,4e Section Fond Arabie,780,1 012,1 792
51,12205,Ouest,Petit-Goâve,5e Section Trou Canari,279,368,647
52,12206,Ouest,Petit-Goâve,6e Section Trou Canari,1 136,1 422,2 559
53,12207,Ouest,Petit-Goâve,7e Section des Platons,385,470,855
54,12208,Ouest,Petit-Goâve,8e Section des Platons,2 211,2 748,4 958
55,12209,Ouest,Petit-Goâve,9e Section des Palmes,954,1 144,2 097
56,12210,Ouest,Petit-Goâve,10e Section des Palmes,578,717,1 296
57,12211,Ouest,Petit-Goâve,11e Section Ravine Sèche,68 017,68 174,136 191
58,12212,Ouest,Petit-Goâve,12e Section des Fourques,11 871,11 511,23 382
59,12301,Ouest,Grand-Goâve,1re Section Tête-à-Boeuf,30 169,30 701,60 870
60,12302,Ouest,Grand-Goâve,2e Section Tête-à-Boeuf,6 387,6 372,12 759
61,12303,Ouest,Grand-Goâve,3e Section Moussambe,2 163,2 014,4 178
62,12304,Ouest,Grand-Goâve,4e Section Moussambe,4 272,4 141,8 413
63,12305,Ouest,Grand-Goâve,5e Section Grande Colline,3 157,3 264,6 420
64,12306,Ouest,Grand-Goâve,6e Section Grande Colline,2 825,2 887,5 712
65,12307,Ouest,Grand-Goâve,7e Section Gerard,40 582,30 781,71 362
66,13101,Ouest,Croix-Des-Bouquets,1re Section des Varreux,14 868,12 375,27 242
67,13102,Ouest,Croix-Des-Bouquets,2e Section des Varreux,61 654,66 245,127 899
68,13103,Ouest,Croix-Des-Bouquets,3e Section Petit Bois,53 088,48 578,101 666
69,13104,Ouest,Croix-Des-Bouquets,4e Section Petit Bois,5 016,4 094,9 110
70,13105,Ouest,Croix-Des-Bouquets,5e Section Petit Bois,8 018,6 639,14 657
71,13106,Ouest,Croix-Des-Bouquets,6e Section Belle Fontaine,1 324,1 227,2 551
72,13107,Ouest,Croix-Des-Bouquets,7e Section Belle Fontaine,2 622,2 255,4 878
73,13108,Ouest,Croix-Des-Bouquets,8e Section Belle Fontaine,4 665,4 250,8 915
74,13109,Ouest,Croix-Des-Bouquets,9e Section des Crochus,2 296,2 007,4 303
75,13110,Ouest,Croix-Des-Bouquets,10e Section des Orangers,4 718,4 427,9 146
76,13201,Ouest,Thomazeau,1re Section Grande Plaine,17 139,18 602,35 741
77,13202,Ouest,Thomazeau,2e Section Grande Plaine,3 348,3 381,6 729
78,13203,Ouest,Thomazeau,3e Section Trou d'Eau,3 815,4 176,7 991
79,13204,Ouest,Thomazeau,4e Section des Crochus,7 889,7 497,15 386
80,13301,Ouest,Ganthier,1re Section Galette Chambon,4 224,3 711,7 935
81,13302,Ouest,Ganthier,2e Section Balan,4 054,3 673,7 727
82,13303,Ouest,Ganthier,3e Section Fond Parisien,17 109,17 961,35 070
83,13304,Ouest,Ganthier,5e Section Pays Pourri,2 931,2 616,5 546
84,13305,Ouest,Ganthier,4e Section Mare Roseaux,10 376,11 095,21 471
85,13401,Ouest,Cornillon / Grand Bois,"1re Section Plaine Céleste
",7 685,8 036,15 721
86,13402,Ouest,Cornillon / Grand Bois,2e Section Plaine Céleste,6 234,6 542,12 776
87,13403,Ouest,Cornillon / Grand Bois,3e Section Boucan Bois Pin,7 983,8 504,16 488
88,13404,Ouest,Cornillon / Grand Bois,4e Section Boucan Bois Pin,9 153,9 630,18 783
89,13405,Ouest,Cornillon / Grand Bois,5e Section Génipailler,4 958,5 451,10 409
90,13501,Ouest,Fonds-Verrettes,1re Section Fonds-Verrettes,30 626,31 569,62 195
91,14101,Ouest,Arcahaie,1re Section Boucassin,2 135,1 906,4 041
92,14102,Ouest,Arcahaie,2e Section Fonds Baptiste,5 970,5 687,11 657
93,14103,Ouest,Arcahaie,3e Section des Vases,57 608,58 499,116 107
94,14104,Ouest,Arcahaie,4e Section Montrouis,5 265,4 778,10 044
95,14105,Ouest,Arcahaie,5e Section Delices,4 695,4 935,9 630
96,14106,Ouest,Arcahaie,6e Section Matheux,5 267,5 267,10 533
97,14201,Ouest,Cabaret,1re Section Boucassin,598,458,1 056
98,14202,Ouest,Cabaret,2e Section Boucassin,39 106,39 195,78 301
99,14203,Ouest,Cabaret,3e Section Source Matelas,1 253,982,2 235
100,14204,Ouest,Cabaret,4e Section Fonds des Blancs (Casale),1 759,1 498,3 257
101,15101,Ouest,Anse à Galets,1re Section Palma,1 720,1 457,3 177
102,15102,Ouest,Anse à Galets,2e Section Petite Source,31 339,32 763,64 102
103,15103,Ouest,Anse à Galets,3e Section Grande Source,1 465,1 185,2 650
104,15104,Ouest,Anse à Galets,4e Section Grand Lagon,2 856,2 407,5 263
105,15105,Ouest,Anse à Galets,5e Section Picmy,506,414,920
106,15106,Ouest,Anse à Galets,6e Section Petite Anse,890,780,1 670
107,15201,Ouest,Pointe à Raquette,5e Section Gros Mangle,1 383,1 402,2 785
108,15202,Ouest,Pointe à Raquette,1re Section la Source,2 064,2 206,4 269
109,15203,Ouest,Pointe à Raquette,2e Section Grand Vide,2 438,2 644,5 083
110,15204,Ouest,Pointe à Raquette,3e Section Trou Louis,3 501,3 852,7 353
111,15205,Ouest,Pointe à Raquette,4e Section Pointe à Raquette,5 245,5 748,10 993
112,21101,Sud-Est,Jacmel,1re Section Bas Cap Rouge,48 357,45 715,94 073
113,21102,Sud-Est,Jacmel,2e Section Fond Melon (Selles),1 446,1 227,2 672
114,21103,Sud-Est,Jacmel,3e Section Cochon Gras,9 178,9 302,18 480
115,21104,Sud-Est,Jacmel,4e Section La Gosseline,3 849,3 687,7 536
116,21105,Sud-Est,Jacmel,5e Section Marbial,1 679,1 799,3 478
117,21106,Sud-Est,Jacmel,6e Section Montagne La Voûte,30 114,28 958,59 071
118,21107,Sud-Est,Jacmel,7e Section Grande Rivière de Jacmel,4 636,4 981,9 617
119,21108,Sud-Est,Jacmel,8e Section Bas Coq Chante,7 372,7 890,15 262
120,21109,Sud-Est,Jacmel,9e Section Haut Coq Chante,4 205,4 629,8 834
121,21110,Sud-Est,Jacmel,10e Section La Vanneau,7 445,7 520,14 966
122,21111,Sud-Est,Jacmel,11e Section La Montagne,15 562,15 048,30 610
123,21201,Sud-Est,Marigot,1re Section Corail Soult,14 515,12 299,26 814
124,21202,Sud-Est,Marigot,2e Section Grande Rivière Fesles,5 153,4 701,9 855
125,21203,Sud-Est,Marigot,3e Section Macary,13 065,11 719,24 784
126,21204,Sud-Est,Marigot,4e Section Fond Jean Noël,12 414,11 519,23 933
127,21205,Sud-Est,Marigot,5e Section Savane Dubois,10 184,9 986,20 170
128,21301,Sud-Est,Cayes-Jacmel,1re Section Ravine Normande,8 582,8 179,16 760
129,21302,Sud-Est,Cayes-Jacmel,2e Section Gaillard,11 497,10 792,22 288
130,21303,Sud-Est,Cayes-Jacmel,3e Section Haut Cap Rouge,4 403,4 119,8 522
